Mean488,Mean560,Cell Status
7315.75,597.98,Live
1966.55,1848.35,Live
9766.55,543.52,Live
1537.08,3532.46,Live
1865.28,400.21,Live
15548.76,320.9,Live
1376.99,1629.42,Live
21619.9,356.8,Live
4314.75,1108.5,Live
1349.4,421.85,Live
2535.81,927.16,Live
5520.76,418,Live
5645.48,354.47,Live
1528.66,384.08,Live
1964.35,544.53,Live
1556.57,4575.78,Live
18187.59,295.57,Live
1017.45,349.93,Live
15053.84,324.04,Live
18148,371.93,Live
2069.72,381.3,Live
1561.52,572.58,Live
27062.22,330.76,Live
929.01,316.33,Live
1336.96,2994.77,Live
994.9,455.54,Live
16468.97,351.51,Live
21109.64,292.37,Live
894.28,298.73,Live
17664.21,393.67,Live
16957.84,325.8,Live
12688.34,302.76,Live
1369.91,2823.06,Live
12938.74,321.1,Live
11984.47,300.21,Live
3535.38,1555.84,Live
1637.89,1217.9,Live
19819.84,316.2,Live
1705.94,2434.76,Live
1019.96,363.94,Live
12475.94,294.36,Live
1160.5,441.75,Live
19307.94,531.42,Live
19502.99,324.28,Live
1219.39,588.1,Live
1373.66,354.53,Live
20068.21,302.15,Live
15681.89,301.36,Live
975,337.78,Live
13983.96,283.8,Live
1170.5,429.92,Live
1087,374.88,Live
1348.11,1657.17,Live
1271.93,599.72,Live
5844.61,421.02,Live
14865.09,310.3,Live
16179.54,299.43,Live
12890.03,306.25,Live
17715.26,310.92,Live
1571.43,2610.59,Live
1106.25,409.68,Live
1525.24,5636.06,Live
18156.09,316.94,Live
1324.22,725.96,Live
1125.34,374.97,Live
1666.63,525.64,Live
22586.93,446.85,Live
1520.22,391.67,Live
1176.96,1846.94,Live
930.1,307.45,Live
12162.2,300.71,Live
1635.08,4350.02,Live
18899.26,328.03,Live
1146,389.1,Live
931.18,305.14,Live
11406.71,3173.9,Live
954.82,345.69,Live
2566.8,360.53,Live
1883.42,2025.37,Live
18944.46,339.34,Live
1284.4,401.01,Live
2824.44,438.5,Live
15037.96,295.49,Live
18140.6,286.2,Live
13496.28,316.67,Live
27656.92,338.14,Live
9443.24,359.52,Live
12825.78,284.58,Live
1175.63,525.06,Live
1097.58,483.33,Live
1592.43,499.05,Live
10974.08,281.74,Live
1608.78,858.93,Live
11521.8,315.56,Live
1204.28,488.37,Live
1244.59,786.9,Live
8535.17,310.62,Live
1406.97,1497.41,Live
1369.04,419.74,Live
1104.98,428.39,Live
1239.92,889.4,Live
28614.52,320.28,Live
15117.66,297.11,Live
2038.76,2617.12,Live
1326.69,466.65,Live
1187.59,405.67,Live
7781.47,293.24,Live
9251.6,262.2,Live
919.48,821.14,Live
12516.46,273.86,Live
916.98,329.8,Live
1335.92,478.49,Live
1143.72,467.02,Live
1060.83,448.74,Live
1115.13,1644.3,Live
1508.41,2617.37,Live
902.33,1754.92,Live
9083.23,320.49,Live
872.78,416.16,Live
984.98,1428.25,Live
1083.99,882.77,Live
1389.4,330.19,Live
1254.97,1737.9,Live
1807.94,322.07,Live
11479.42,292.84,Live
1857.54,301.06,Live
8746.56,265.86,Live
2140.8,3246.24,Live
6767.8,3119.52,Live
1233.11,400.5,Live
924.27,437.89,Live
2365.78,349.34,Live
9243.27,279.64,Live
14256.85,270.84,Live
17491.61,316.71,Live
18027.38,348.48,Live
1779.99,3339.06,Live
11507.13,281.63,Live
15642.76,286.27,Live
858.12,314.71,Live
1937.7,281.34,Live
7891.79,269.43,Live
1230.85,983.2,Live
5231.67,565.66,Live
2301.16,2962.83,Live
932.8,754.28,Live
1160.72,448.41,Live
12341.37,260.42,Live
1026.96,2107.65,Live
1246.53,490.54,Live
1402.88,649.07,Live
8344.41,263.79,Live
1232.01,2180.38,Live
12329.93,1294.78,Live
1140.04,742.08,Live
1238.04,494.34,Live
954.53,1041.9,Live
984.66,747.92,Live
1047.17,1667.64,Live
1391.65,1090.82,Live
7531.54,252.49,Live
17069.26,295.52,Live
2761.15,4041.34,Live
14294.76,283.6,Live
1137.84,613.66,Live
8124.28,296.21,Live
11304.32,275.2,Live
1078.36,2157.47,Live
6020.12,341.76,Live
10890.71,271.77,Live
968.59,466.34,Live
9890.64,305.58,Live
832.52,1347.84,Live
771.68,668.88,Live
1521.46,363.64,Live
928.87,411.99,Live
926.14,4687.36,Live
6657.72,277.75,Live
11720.86,274.54,Live
2704.89,345.98,Live
1503.78,8190.56,Live
1097.77,357.23,Live
1128.95,3788.78,Live
5094.77,430.8,Live
10896.25,263.35,Live
8737.33,270.36,Live
13343.64,270.73,Live
12290,332.87,Live
839.66,5659.24,Live
831.59,293.5,Live
10397.43,269.62,Live
10888.51,277.6,Live
1354.56,570.69,Live
1387.57,355.15,Live
10221.81,323.86,Live
1183.08,1148.99,Live
10540.48,281.35,Live
1912.15,3568.51,Live
1297.54,325.7,Live
1104.98,2317.65,Live
1069.13,759.15,Live
9859.93,304.72,Live
999.76,377.2,Live
7776.22,272.55,Live
16857.88,275.57,Live
1144.96,1897.47,Live
1658.53,2837.4,Live
1086.28,2618.19,Live
7326.3,266.8,Live
1322.61,320.03,Live
12664,282.17,Live
1466.6,356.38,Live
1104.21,1996.97,Live
1397.61,6504.71,Live
1185.05,1964.28,Live
1876.55,1118.19,Live
7707.43,278.07,Live
1695.48,598.66,Live
1182.67,433.44,Live
1796.33,781.3,Live
1475.52,364.64,Live
13385.32,275.63,Live
12274.63,268.28,Live
1681.97,2114.48,Live
1538.22,1305.07,Live
9978.23,302.09,Live
1720.23,362.77,Live
2135.16,362.65,Live
963.21,323.13,Live
8005.65,272.74,Live
1849.77,384.01,Live
939.99,325.78,Live
966.68,1405.12,Live
1356.54,1835.86,Live
16505.04,313.79,Live
912.89,389.44,Live
956.49,662.3,Live
1367.99,6114.35,Live
2404.95,629.93,Live
1336.97,755.07,Live
1603.64,1362.75,Live
1086.68,1496.43,Live
13960.07,273.6,Live
14377.8,290.88,Live
1964.99,2255,Live
13240.63,291.56,Live
10617.49,703.06,Live
986.36,386.56,Live
1325.77,2933.95,Live
1050.4,480.4,Live
14484.76,351.2,Live
15973.39,289.38,Live
17431.45,300.2,Live
12675.28,317.92,Live
8436.98,314.71,Live
1066.45,1518.09,Live
11051.77,304.64,Live
16210.78,520.47,Live
899.76,298.21,Live
1466.48,3673.49,Live
1163.91,7449.95,Live
1065.02,778.2,Live
10504.52,303.4,Live
11201.87,283.61,Live
1391.92,623.84,Live
1273.73,577.99,Live
16893.6,303.68,Live
19559.41,327.86,Live
13450.64,282.58,Live
1064.32,722.12,Live
17673.03,320.91,Live
1515.68,1524.56,Live
951.12,359.1,Live
13706.76,293.25,Live
1489.48,360.5,Live
